,label,text
44310,Tiefbau,Baugeschäft Haßmann Gmbh Wörblitz
39433,Restaurants,"Gaststätten, Restaurants - Sucos Do Brasil Cocktailbar"
8828,Autowerkstätten,Lankes Kfz-werkstatt
61668,Werbeagenturen,Feine Reklame Gesellschaft Für Strategische Kreation Mbh Hild
34837,Maler,Müller Vladimir & Co. Malermeister
1478,Allgemeinärzte,Renninger Arztpraxis Für Allgemeinmedizin Dr.
21584,Friseure,Coiffeur La Vie
34259,Maler,Kiesewalter Malermeister Thomas
10951,Dienstleistungen,Gerhard Pflaum Minden-herforder-verkehrs-service Gmbh
36476,Physiotherapie,Hellriegel - Thoms - Feliksßen Rückenzentrum Köln Gmbh Krankengymnastik
20212,Elektrotechnik,Liedtke + Karl-ludwigu Elektrotechnik Gmbh
34099,Maler,Höhing W. Gmbh Malerwerkstätten Betoninstandsetzung
46329,Tiefbau,Logo-bau Gmbh Jaeger
63246,Werbeagenturen,Werner Merz Manus Sinister Werbeagentur
47987,Tiefbau,Zerbe Tiefbau Gmbh
22861,Friseure,Haar-design Krockenberger Stelling
62041,Werbeagenturen,Interface International Gesellschaft Für Touristische Promotion Oehler
1705,Allgemeinärzte,Spingler Allgemeinmedizin Und Naturheilverfahren Dr. Med.
26702,Gebrauchtwagen,Autohaus Stamm Gmbh
13447,Dienstleistungen,Wrs Gemeinnützige Service Gmbh
41114,Restaurants,Weers Gaststätte
34258,Maler,Kiesendahl Malerbetrieb
62557,Werbeagenturen,Paßkönig Werbung
14624,Edv,Ikn It Service Gmbh Kessel
10118,Dienstleistungen,Bgs Garten Service Baldauf
52734,Unternehmensberatungen,Zulley Unternehmensberatung Brandes
54675,Vereine,Msc Hänchen E.v.
2729,Apotheken,Apotheken - Sonnen-apotheke Buß
53517,Vereine,Extra Blues E.v.
18613,Elektriker,Schütz Elektroinstallation Gmbh
39447,Restaurants,"Gaststätten, Restaurants - Tuscolo Münsterblick"
49310,Unternehmensberatungen,Erwin Sanders Baudenbacher Gmbh Unternehmensberatung
54910,Vereine,Raa Leipzig E.v.
62672,Werbeagenturen,Quan-design Werbeagentur
17211,Elektriker,Falko Ketterer Kullak Elektroservice
51186,Unternehmensberatungen,Opitz Consulting Deutschland
38836,Restaurants,"Gaststätten, Restaurants - Adler"
23979,Friseure,Linß Friseursalon Marquardt
37118,Physiotherapie,Novophysio Hantschel
57906,Vermittlungen,Winfried Scholten Aktiv Verbraucher-beratung Gmbh Notarzt
54294,Vereine,Kja E.v. Fritsch
6628,Architekturbüros,Pöschel Architektur Straub
5668,Architekturbüros,Hubert Diefenbach Haith Ärztin Dimo Architekt
57635,Vermittlungen,"Ralf Bloch Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Satellitenantennenbau"
4196,Architekturbüros,Abdel-hamid Architekt Dr.
28613,Gebrauchtwagen,Schorlemer Autohaus
28733,Gebrauchtwagen,Sylvester Petermann A.s. Automarkt Autohandel
6771,Architekturbüros,Ruoff Architekten
25136,Friseure,Trick Friseurgeschäft
