,Unnamed: 0,label,text
46199,48800,Unternehmensberatungen,Comptronic Unternehmensberatung Gmbh
1169,2139,Apotheken,Apotheke An Der Gürselnzkirche Dr. Gereon Schöllhorn
33830,3789,Apotheken,Ralf Polster Bahnhof-apotheke
25473,37890,Physiotherapie,Therapiezentrumgeldern Van Hees Therapiezentrum Für Krankengymnastik
56878,60006,Versicherungsvermittler,Orazem Versich.kfm.
46031,17631,Elektriker,Huck Müller Elektro Gmbh Elektroinstallation
53164,30169,Handelsvermittler Und -vertreter,Menk Industrievertretung Kuhlmann
8110,33222,Maler,Beier Malergeschäft
1844,38808,Restaurants,Gaststätte Flotzinger Gaststätte
445,38999,Restaurants,"Gaststätten, Restaurants - Gasthaus Nurettin Gaststätte"
27110,25363,Friseure,Wolfgang Hellmann Hair-express-essanelle Hair Group Ag
5169,53109,Vereine,Bildungsverbund Handwerk Gmbh Römer
46960,31327,Hotels,Ferienpark Am Bernsteinsee Thamm
36947,58326,Versicherungsvermittler,Brünjes Helvetia Versicherungen Tauber
56686,15894,Elektriker,Achim Manz Siebzehnrübl Elektromeister
63135,22426,Friseure,Friseursalon Fini Sieber
9812,41473,Sanitärinstallationen,"Baitinger Gasheizungs Sanitärtechnik, Flaschnerei Dröge"
30392,13880,Edv,Computer A+s+c+o Inh. Oswald Engels Computer
32279,39334,Restaurants,"Gaststätten, Restaurants - Restaurant Im Schiffchen Gastronomie"
25879,37841,Physiotherapie,Sükrü Hauk Kraner Praxis Für Physiotherapie
31851,32582,Hotels,Martin Stich Schulungszentrum-seminaris- Hotel
60922,12451,Dienstleistungen,Pumpen-service Uhthoff & Zarniko Gmbh
8394,60333,Versicherungsvermittler,Schmauder Servicebüro Für Versicherungen Kupka
55130,22443,Friseure,Friseursalon Haarmonie
43219,304,Allgemeinärzte,Detlef Stricker Aden Ärzte Für Allgemeinmedizin
23766,55777,Vereine,Zipfelmützen E.v. Vogl
13979,51699,Unternehmensberatungen,Rshc Healthcare Consult
13090,27531,Gebrauchtwagen,Gantke Autohandel
25935,62718,Werbeagenturen,Reprotechnik Outfit Werbung Gmbh Digitaldruckerei Hartung
49704,62444,Werbeagenturen,Ms Werbung Und Montage Gmbh Agentur Für Haushaltswerbung
52294,28143,Gebrauchtwagen,Ll Autohaus Und -service In Schildow Gmbh
28299,3429,Apotheken,Kandel Apotheke Bülow
18055,8564,Autowerkstätten,Johannes Bender Ranzinger Kfz-reparaturwerkstatt
21073,20473,Elektrotechnik,Peter Brennecke Gfg Ges. Für Geräteentwicklung Mbh Mechanik - Optik - Elektronik
59945,12891,Dienstleistungen,Sonsbecker Räucherputen Service Gmbh
20577,53052,Vereine,Benno Schmieder Diakonieverein
1376,25673,Gebrauchtwagen,Auto-klemm Autohandel Service Leonid Klemm Autoservice
47682,52252,Unternehmensberatungen,Token Informatik & Consulting Gmbh Datenverarbeitung Petry
53375,54462,Vereine,Lebenshilfe Prignitz E.v. Danner
10845,32425,Hotels,Johann Preis Kdl hotel Stadt Hamburg Uelzen Gmbh
52035,6508,Architekturbüros,Pastor Architekt Dipl.-ing. Joos
12548,8201,Autowerkstätten,Franz-Josef Kratzer Nettelbeck Autoservice
8673,39009,Restaurants,"Gaststätten, Restaurants - Gasthausbrauerei Felsenkeller Gmbh"
20631,51014,Unternehmensberatungen,Mogular Gmbh I.g. It-unternehmensberatung
263,48669,Unternehmensberatungen,Casa-concept-consulting Gmbh & Co. Kg Hielscher
2192,14727,Edv,Joachim Israel Kei-data Gmbh Kopierer - Edv Systeme - Informationstechnologie
36505,21123,Friseure,Agsten Friseursalon Reiss
5947,1406,Allgemeinärzte,Praxis Dr. Med. Windelen Allgemeinarzt
20982,6832,Architekturbüros,Scheubert Architekt Dipl.-ing.
24843,43622,Sanitärinstallationen,Stork Heizung Sanitär
15267,27437,Gebrauchtwagen,Fiat Automobil Ag Diplomatenverkauf
1309,52356,Unternehmensberatungen,Uniconsult Eyüpnieur- Und Unternehmensberatungsgesellschaft Mbh
814,16466,Elektriker,Elektro Ernst
40948,45051,Tiefbau,Ernst-ludwig Bau Gmbh & Co. Kg Bau- Und Putzsanierung
914,251,Allgemeinärzte,Coenen De Salazar Fachärztin Für Allgemeinmedizin Schmied
49192,46132,Tiefbau,Konermann Bau Gmbh Kemmer
20364,50092,Unternehmensberatungen,Iftt Edv-consult Gmbh
28017,48063,Unternehmensberatungen,Accont Management Consulting Gmbh Managementberatung
10346,54951,Vereine,Reit- U. Fahrverein
44076,60557,Versicherungsvermittler,Szabo U. Atri Gbr Versicherungsbüro
14841,51705,Unternehmensberatungen,Rub) Unternehmensberatung
3528,61712,Werbeagenturen,Frank Schwind Stappert Werbeberatung
23905,10960,Dienstleistungen,Gerken Gmbh Baustellen-absperr-service
52697,45020,Tiefbau,Enko-bau-gmbh Hammann
33034,2333,Apotheken,Apotheken - Bernstein Apotheke
16218,22225,Friseure,Friseur Hair Point Friseur Lee
46383,30886,Handelsvermittler Und -vertreter,Ziesel Industrievertretungen
25840,41569,Sanitärinstallationen,Bippus Flaschnerei Heizung Und Sanitär Klaas
31225,21016,Elektrotechnik,Wgs Electronic Gmbh
47349,9949,Dienstleistungen,Ats Industrie-service Gmbh
59843,5123,Architekturbüros,Fliescher Architekt Dipl.-ing. Schütze
46614,38266,Restaurants,Bars - Richel's Restaurant
49296,5276,Architekturbüros,Gernt Architekturbüro
53963,48202,Unternehmensberatungen,"Andreas Hallmann Kobsda Consulting Coaching, Training, Supporting"
33324,38493,Restaurants,Curry Und Co. Partyservice
49673,2517,Apotheken,Apotheken - Klosterapotheke
53575,40948,Restaurants,Strandräucherei Am Wasserfall Röser
4224,39661,Restaurants,Hans Josef Pfeffer Reataurant Gung Restaurant
40256,39738,Restaurants,Heinz Weidner Auf Der Höhe
12574,2441,Apotheken,Apotheken - Fasanen Apotheke Goldmann
60907,10214,Dienstleistungen,Bvs Betriebs-verpflegungs-service Gmbh
60023,53863,Vereine,Hausbauverein Maharia E.v.
58834,30305,Handelsvermittler Und -vertreter,Ortwin Engels Rentsch Hdl.vertr.
27627,8579,Autowerkstätten,Joseph Noll Feustel Kfz-werkstatt
10858,45903,Tiefbau,Joachim Thiemann Felderhoff Gmbh Bauunternehmen
25067,53761,Vereine,Gruen-gold-club E.v.
35499,19108,Elektrotechnik,Andreas Raddatz Ebf-elektronik A. Fleissner
39757,47081,Tiefbau,Russ Bauunternehmen Smith
19007,6725,Architekturbüros,Rizo Worm Hartnack Architekt
57804,10019,Dienstleistungen,Baldur Angerer Aws Wärme Service Gmbh
35935,41404,Sanitärinstallationen,Andreas Bergmann Heitkötter Gmbh & Co.kg Heizung Sanitär Und Klima
41879,3057,Apotheken,Easy Apotheke Stuhr Kleemann
566,24054,Friseure,Manfred Heinzel Adrovic Friseur
41079,5930,Architekturbüros,Klaus Back Grötenhardt Architekturbüro Dipl.-ing.
2527,43834,Sanitärinstallationen,Weiss Heizung- Und Sanitärmeisterbetrieb
7231,31749,Hotels,Hotel Opus Hotel Trapp
15439,29015,Handelsvermittler Und -vertreter,Alois Holzwarth Casappa Gmbh Verkaufsbüro West
41075,57371,Vermittlungen,"Karl Krell A.a.a.allround Dienstleistungen, Ausführung U. Vermittlung, Notd. Tag+nacht Gmbh Schädlingsbekämpfung"
38190,39973,Restaurants,Josef Franken Birnthaler
5672,48766,Unternehmensberatungen,Clesius Wirtschaftsberatung Gmbh Finanzberatung
61969,20359,Elektrotechnik,Mm Büro-elektronik Büro Für Elektrotechnik
28097,252,Allgemeinärzte,Colla Facharzt Für Innere Medizin Dr.
61211,59373,Versicherungsvermittler,Huß Kilian
21782,35503,Maler,Truhöl Malerbetrieb Rentschler
30233,28021,Gebrauchtwagen,Klapperstück Autohaus Baumgart
10051,29422,Handelsvermittler Und -vertreter,Fipak Semihy Handelsagentur Für Wohnaccessoires
7792,24150,Friseure,Mein In-friseur
56224,45669,Tiefbau,Hertfelder Baugeschäft Gerüstbau Schuler
38810,16955,Elektriker,Elektro-install Gmbh
1847,36478,Physiotherapie,Helmut Holtkamp Physiopraxis Physiologische Praxis
30156,22925,Friseure,Haarnadel Friseur Habermann
16742,17052,Elektriker,Elektro-union Kazimierz Dunkel Gmbh & Co. Kg
20616,12577,Dienstleistungen,Richard Heine Idg Informationsverarbeitung Und Dienstleistungen Gmbh
47758,56090,Vermittlungen,Aktiv Auskunft Verbraucher-beratung Gmbh Verbraucherschutz Ebel
27373,15133,Edv,No Limit It - Services Gbr
57020,30354,Handelsvermittler Und -vertreter,Pj Mathies Handelsvertretung Türk
40347,898,Allgemeinärzte,Jürgen Zacher Baeblich Arzt Für Allgemeinmedizin Dr. Med.
39384,35041,Maler,Ralf Haubold Gievers Malermeister
57245,44914,Tiefbau,Drollinger Bauzentrum Gmbh Tiefbau
28822,35989,Physiotherapie,Christian Vogel Patz Physiotherapie
44375,14019,Edv,Cs-edv Vertrieb-und Service Gmbh
46839,8896,Autowerkstätten,Maier Kfz-handel
49094,47050,Tiefbau,Rombach Baugeschäft Gmbh
30704,26304,Gebrauchtwagen,Autohaus Krause Gmbh
48230,6501,Architekturbüros,Parmakerli Fountis Architekturbüro Ammon
23664,41230,Restaurants,Zum Bernstein Gasthof
46934,50113,Unternehmensberatungen,Imp Wirtschaftsberatung Büsing
44868,7744,Autowerkstätten,Autohaus Motz Gmbh & Co. Kg Kraftfahrzeugmeisterbetrieb
34389,46154,Tiefbau,Kramer Giovanni Bauunternehmung Gmbh
63153,26973,Gebrauchtwagen,Automobile Und Mehr Inh. Emanuele Unterberger Automobilhandel
10925,51198,Unternehmensberatungen,Orgaplan Betriebsberatung Behrend
592,3621,Apotheken,Mohammad Preuss Einhornapotheke
32137,17468,Elektriker,Hans Borowski Zufall Elektromeister
21416,6156,Architekturbüros,Leusder Architekt Dipl.-ing.
37468,3401,Apotheken,Josef Kettler Insel- Und Bad-apotheke
16559,48902,Unternehmensberatungen,Correcta Gmbh Wohn- Und Gewerbebau
23467,55207,Vereine,Stadtmission Chemnitz E.v.
40456,61376,Werbeagenturen,Cardbox Media Solutions Werbeagentur Knittel
57644,25177,Friseure,Vagts Friseur
30756,54792,Vereine,Oliver Sauter Office Life E.v.
30675,8513,Autowerkstätten,Hosemann Nikolaus A-z Autoservice Gmbh
27960,5670,Architekturbüros,Hubert Klasen Riepe Architekt Bdb
47948,43408,Sanitärinstallationen,Scheinert Sanitär Heizung Gasanlagen Dachklempnerei
4613,32323,Hotels,Hotels - Tannenhof
36796,31299,Hotels,Ernst-Otto Hennecke Hotel Torbräu Hotel
4450,54742,Vereine,Netzwerk-osteoporose E.v.
27829,24236,Friseure,Moritz Janoscht-moritz Ihno Friseur-meisterin
10471,49843,Unternehmensberatungen,Hb Elektrotechnik Projektmanagement Gmbh
29146,15608,Edv,Ströhmer Computersysteme Gmbh
53581,1338,Allgemeinärzte,Overbeck Arzt Für Allgemeinmedizin Dr. Ott
61750,15387,Edv,Richard Rieß Synet Solutions Gmbh & Co. Kg Kommunikationssysteme
20629,29096,Handelsvermittler Und -vertreter,Becker Handelsvertretungen Handelsvertretung Für Technische Produkte
30514,52537,Unternehmensberatungen,Werner Krenz Cp Fashion Consulting
