,label,text
16547,Elektriker,Elektro Hmd Schülbe Gmbh
11103,Dienstleistungen,Hans Geis City-waschraum-service Cbs
44945,Tiefbau,Ebg Bau Gmbh
44547,Tiefbau,Bina Bau Gmbh
26042,Gebrauchtwagen,Autohaus Fahlbusch Gmbh
57473,Vermittlungen,"Lutz Baumgärtner Elektro A-z & Notdienst,alarm-,photovoltaik-/solarstrom-,sat-,sprechanlagen E.k. Satellitenantennenbau"
13437,Dienstleistungen,Wolfgang Spieker Alu-gs Gmbh Gusslegierungen U. Service Gusslegierune
21317,Friseure,Bektas Hair Design
11280,Dienstleistungen,Hkl Sekretariats-service Giebel
59606,Versicherungsvermittler,Kosiol Versicherungen Und Finanzen
37392,Physiotherapie,Physiotherapiezentrum Mittelbaden Gmbh
37970,Physiotherapie,Verriet Krankengymnastik
25823,Gebrauchtwagen,Autohaus Aytekin Dresen Gmbh
11923,Dienstleistungen,Marco Hammann Autovermietung Füllemann Gmbh Dienstleistungsbetrieb
27318,Gebrauchtwagen,Dzengel Autohaus Gordemitz Rusch
17186,Elektriker,Esb Elektroinstallation Service & Beratung Gmbh Co.kg
45476,Tiefbau,Hamburger M. Baugeschäft Gmbh Hintze
1190,Allgemeinärzte,Matthias Kleinert Drs. V. Schrage Und B. Balloff Allgemeinarzt
31176,Hotels,Centro Hotel National Gmbh
42670,Sanitärinstallationen,"Klaus-Dieter Büsing Schoner-heizung-sanitär Gmbh Installation U. Service, Heizung U. Sanitär"
12857,Dienstleistungen,Sk Dienstleistung Gmbh
44680,Tiefbau,Bültmann Bau Gmbh Gehrmann
53628,Vereine,Frischlinge E. V.
33898,Maler,Hans Scharf Hörnle Malermeister
31667,Hotels,Hotel Garni Am Rotkäppenwald Hotel
17329,Elektriker,Gerhard Abels Elektro Mews
39506,Restaurants,"Gaststätten, Restaurants - Zum Onofrior"
51334,Unternehmensberatungen,Plan Consult Gmbh
15417,Edv,Rs Datentechnik Gmbh
10762,Dienstleistungen,Fcs Flight Calibration Services Gmbh
39151,Restaurants,"Gaststätten, Restaurants - Kneiple"
36848,Physiotherapie,Krankengymnastisches/physiotherapeutischen Zentrum Schirmer
26133,Gebrauchtwagen,Autohaus Gürsel Gmbh
14320,Edv,Fruh It-service Wimmer
49350,Unternehmensberatungen,Ex-im Business Consulting Gmbh
58621,Versicherungsvermittler,Eckhard Schacht Dbv Versicherungen Sascha Dzinic
62986,Werbeagenturen,The Promotion Company Philipps
56612,Vermittlungen,"Elektro A-z & Notdienst, Alarm-, Photovoltaik-/solarstrom-, Sat-, Sprechanlagen E.k. Solaranlagenbau Kunkel"
21113,Friseure,Adden Modefriseursalon
39677,Restaurants,Hans-rolfnzoeout Noris Restaurant Cafè Bar
21833,Friseure,Durst Friseursalon
1512,Allgemeinärzte,Rollmann Dr.
25972,Gebrauchtwagen,Autohaus Dinnebier Gmbh Schwenk
38630,Restaurants,Elfenmühle Hotel-restaurant-cafe Taubert
49134,Unternehmensberatungen,Dr. Rieden Gmbh Wirtschafts- Prüf.-u. Steuerberatungsges.
17963,Elektriker,Leufer Elektrotechnik Elektroinstallation Behrens
27257,Gebrauchtwagen,Daimler Ag Nl Reutlingen U. Tübingen Verk. Pkw Gebrauchtwagen Erler
1861,Allgemeinärzte,Vizenetz Facharzt Für Allgemeinmedizin Dr. Med. Fengler
31933,Hotels,Hotels - Atrium Hotel Amadeus Engelbrecht
7249,Architekturbüros,Walter Schwenk Ladleif-architekten Bda Architektur
36783,Physiotherapie,Krankengymnastik
41553,Sanitärinstallationen,Bezler Sanitär Gmbh
30918,Hotels,Airport I Hotel By The New Yorker Blömer
47124,Tiefbau,Salo Bau Investment Gmbh Bauimmobilienservice
20051,Elektrotechnik,Jürgen Klose Esm Elektrotechnik Gmbh
38898,Restaurants,"Gaststätten, Restaurants - Bootshaus - Cafe Restaurant Events"
61545,Werbeagenturen,Dolderer Werbung Und Kommunikation
6497,Architekturbüros,Pape Architekt Dipl.-ing.
32013,Hotels,Hotels - Hackbarth
21061,Elektrotechnik,Wolfharts Systemtechnik Gmbh Elektrotechnik
61805,Werbeagenturen,Grabarz & Partner Werbeagentur Gmbh Werbeagentur
2428,Apotheken,Apotheken - Engel
30287,Handelsvermittler Und -vertreter,Obernitz Handelsagentur Fußpflege
51546,Unternehmensberatungen,Rat & Tat Unternehmensberatung Unternehmensberatung Abele
31202,Hotels,Cityclass Hotel Carprice Am Dom Hotel Waldmann
62657,Werbeagenturen,Public Werbegesellschaft Mbh
61800,Werbeagenturen,Gorilla Xl Advertising Gbr
46761,Tiefbau,Paatz Bau Paatz Pflaster- Weg- Und Tiefbau Cornelius
25250,Friseure,Wasil Haustein Bukschat Friseursalon
38274,Restaurants,Beim Neimoar
52508,Unternehmensberatungen,Wanning Consulting
20643,Elektrotechnik,S & K Elektrotechnik Gmbh
32039,Hotels,Hotels - Hotel Am Seetor
8415,Autowerkstätten,Hebestreit Kfz-werkstatt
38690,Restaurants,Forelle Moos
12585,Dienstleistungen,Riza Petry Showtec-service Fenzl
29679,Handelsvermittler Und -vertreter,Hans-günthers Büro & Kopiersysteme Handelsgesellschaft Mbh
792,Allgemeinärzte,Hourani Facharzt Für Allgemeinmedizin Scheller
4387,Architekturbüros,Architekturbüro Fröde Architekturbüro Hillenbrand
60736,Versicherungsvermittler,Versicherungskontor Rostock Gesellschaft F. Versicherungs- U. Kapitalanlagen Mbh
54821,Vereine,Papillon Verein F. Sozialtherapeutische Angebote Hilker
52479,Unternehmensberatungen,Wadlinger Unternehmensberatung Dipl.-betriebswirtin(ba) Wöhrle
9254,Autowerkstätten,S. J. Autoservice Voß
13858,Edv,Comfuture Computer- Und Kommunikationssysteme Gmbh
54859,Vereine,Pillnitzer Reiterhof alte Schäferei E.v.
21764,Friseure,Dieter Hillenbrand Therre Friseursalon
2108,Apotheken,Apotheke Am Bahnhof Apotheke Knauf
61039,Versicherungsvermittler,Zurbuch Versicherung
27880,Gebrauchtwagen,Jens Brettschneider Autohaus Sedlmair Gmbh
53310,Vereine,Diakonisches Werk Innere Mission Leipzig E.v.
39250,Restaurants,"Gaststätten, Restaurants - Mirko's Gasthaus"
34440,Maler,Liedschulte Malermeister
39560,Restaurants,Gerd Vorwerk Damora
53960,Vereine,Hortverein E.v. Bier
24529,Friseure,Rauer Friseursalon
2380,Apotheken,Apotheken - Daimler Apotheke Apotheker
15465,Edv,Sas Datentechnik
56618,Vermittlungen,"Elektro A-z & Notdienst, Alarm-, Photovoltaik-/solarstrom-, Sat-, Sprechanlagen E.k. Solaranlagenbau Linke"
43421,Sanitärinstallationen,Schiller Heizung-sanitär Gmbh Sanitärinstallationen Heizungs- Und Lüftungsbau
62620,Werbeagenturen,Pressetext Nachrichtenagentur Gmbh C/o Ddp Gmbh
12733,Dienstleistungen,"Schulen, Sonstige Schulen - Hwk-service Gmbh Projekt Zaq Bildungsträger Hardt"
2248,Apotheken,Apotheken - Apotheke Am Dom
26211,Gebrauchtwagen,Autohaus Härtel Gmbh
43561,Sanitärinstallationen,Smode Gmbh Sanitär- Heizungs- Und Klimatechnik
15332,Edv,Rainer Eck Ct Datentechnik Ges. F. Prozessrechentechnik Mbh
46414,Tiefbau,Manfred Günter Geers Bau Gmbh
54998,Vereine,Robert Rosenbaum Tuerk Islam Verein E.v.
49744,Unternehmensberatungen,Gürtler Dursun Industrieberatung U. Auftragsfertigung Gmbh
3701,Apotheken,Packhof Blaschke
14919,Edv,Lpc-service Liebal Computer
11751,Dienstleistungen,Kruphölter U. Manz Gbr Billard U. Banden-service
33084,Hotels,Wolfgang Nitz Hotels - Brunnenhof Garni
5490,Architekturbüros,Haupt Architekt Dipl.-ing.
18593,Elektriker,Schwering Elektroinstallation Bader
35268,Maler,Schwadorf Malermeister Hopp
849,Allgemeinärzte,Jochen Schuck Allgayer Ballier U. Allgemeinärztinnen Dr. Med.
20932,Elektrotechnik,Ulrich Lemke Wd-electronic
44922,Tiefbau,Dunzer Bau Gmbh
61341,Werbeagenturen,Bruno Scholz Antares Werbeagentur Gmbh
53710,Vereine,Gerhard Link Kfh Kuratorium Für Dialyse Und Nierentransplantation E.v. Kfh-nierenzentrum
5706,Architekturbüros,Hübler Architekt Dipl.-ing. (fh) Happel
3387,Apotheken,Johann Jacobs Farma-plus Apotheke
10980,Dienstleistungen,Glenn Schupp Remondis Industrie Service Gmbh & Co.kg
35180,Maler,Sbmunich Gmbh Malerbetrieb
13728,Edv,Blumenthal Computer Dienst Bcd Computerdienst
45462,Tiefbau,Hahn Bau Gmbh Hahne
62109,Werbeagenturen,Jürgen Voss Agentur Texter-millott Gmbh
50341,Unternehmensberatungen,Jungclaus Consulting Schulen
20220,Elektrotechnik,Lommer Elektrotechnik Gmbh Knoblauch
